REF_AREA;MEASURE;UNIT_MEASURE;MEASURE_PRINCIPLE;ACCOUNTING_ENTRY;TYPE_ENTITY;FDI_COMP;SECTOR;COUNTERPART_AREA;LEVEL_COUNTERPART;ACTIVITY;FREQ;FDI_COLLECTION_ID;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MULT;CURRENCY;DECIMALS
USA;T_D4P_F;USD_EXC;DO;NET_FDI;RSP;D;S1;W;IMC;A_B;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;J;A;CTRY_IND;2023;19.400.704.272.141;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;D;A;CTRY_IND;2023;20.018.603.415.055;A;6;USD;2
LUX;T_D4P_F;USD_EXC;DO;NET_FDI;ROU;D;S1;W;IMC;C29_30;A;CTRY_IND;2024;97.339.390.006.489;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ROU;D;S1;W;IMC;J;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C24T28X27;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C19T22;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C10T12;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C15_23_27_31T33;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C13T18X15;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;J;A;CTRY_IND;2024;22.103.457.376.617;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;L;A;CTRY_IND;2024;29.823.172.340.987;A;6;USD;2
GRC;T_D4P_F;USD_EXC;DO;NET_FDI;ROU;D;S1;W;IMC;C15_23_27_31T33;A;CTRY_IND;2023;6.943.642.517.301;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;O_T_U;A;CTRY_IND;2023;-31.891.568.666.534;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;M;A;CTRY_IND;2024;40.314.067.036.157;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;K;A;CTRY_IND;2024;75.376.088.677.751;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;G;A;CTRY_IND;2023;49.066.507.208.823;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;H;A;CTRY_IND;2023;33.153.943.259.584;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;I;A;CTRY_IND;2023;77.602.817.088.566;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;K;A;CTRY_IND;2023;7.784.864.793.037;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;Q;A;CTRY_IND;2023;24.250.880.340.177;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;M;A;CTRY_IND;2023;31.227.160.985.981;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;F;A;CTRY_IND;2023;48.036.675.303.967;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;_X;A;CTRY_IND;2023;13.201.780.612.584;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C;A;CTRY_IND;2023;44.143.246.295.927;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;E;A;CTRY_IND;2023;48.036.675.303.967;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;N;A;CTRY_IND;2023;68.433.991.096.937;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;O_T_U;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;S;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;E;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;R;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ROU;D;S1;W;IMC;P;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;D;A;CTRY_IND;2024;17.135.128.002.111;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C29_30;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C19T22;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C24T28X27;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C29_30;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;P;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;R;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;S;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;GTU;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;A_B;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;I;A;CTRY_IND;2024;81.881.762.998.153;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;H;A;CTRY_IND;2024;31.934.547.373.977;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;G;A;CTRY_IND;2024;39.634.468.197.414;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;_T;A;CTRY_IND;2023;51.486.279.981.397;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;_T;A;CTRY_IND;2024;47.431.380.311.428;A;6;USD;2
